author_sort,title,series,series_index,Stars (out of 5)
"Guardian, The & Leigh, David & Harding, Luke",The End of Secrecy: The Rise and Fall of WikiLeaks,,1,5
"Aaron, Rachel",The Spirit Thief,The Legend of Eli Monpress,1,5
"Aaron, Rachel",The Spirit Rebellion: The Legend of Eli Monpress: Book 2,The Legend of Eli Monpress,2,5
"Aaronovitch, Ben",Doctor Who: Transit,Doctor Who: New Adventures,10,4
"Aaronovitch, Ben",Doctor Who: The Also People,Doctor Who: New Adventures,44,3
"Aaronovitch, Ben",Doctor Who: Remembrance of the Daleks,Doctor Who: Target,148,3
"Aaronovitch, Ben",Rivers of London,,1,5
"Aaronovitch, Ben & Orman, Kate",Doctor Who: So Vile a Sin,Doctor Who: New Adventures,56,3
"Abbey, Lynn",The Rise and Fall of a Dragonking,Chronicles of Athas,5,5
"Abbey, Lynn",The brazen gambit,Dark Sun,1.1,5
"Abbey, Lynn",Cinnabar Shadows,Dark Sun,1.4,5
"Abbott, Edwin A.",Flatland,,1,5
"Abbott, Karen",American Rose: A Nation Laid Bare: The Life and Times of Gypsy Rose Lee,,1,5
"Abercrombie, Joe",The Blade Itself,The First Law,1,4
"Abercrombie, Joe",Before They Are Hanged,The First Law,2,4
"Abercrombie, Joe",Last Argument of Kings,The First Law,3,4
"Abercrombie, Joe",The Heroes,,1,5
"Abnett, Dan",Doctor Who: Border Princes,Doctor Who: Torchwood,2,5
"Abnett, Dan",First and Only,"Warhammer 40,000: Gaunt's ghosts",1,5
"Abulhawa, Susan",Mornings in Jenin,,1,5
"Achebe, Chinua",Things fall apart,,1,3
"Acker, Rick",When the Devil Whistles,,1,5
"Ackroyd, Peter",Albion: The Origins of the English Imagination,,1,5
"Ackroyd, Peter",London: A Biography,,1,5
"Ackroyd, Peter",The house of Doctor Dee,,1,3
"Ackroyd, Peter",Venice: Pure City,,1,5
"Adair, Robin",Death and the Running Patterer,,1,5
"Adams, C. T. & Clamp, Cathy",Hunter's Moon,Tales of the Sazi,1,3
"Adams, C. T. & Clamp, Cathy",Moon's Web,Tales of the Sazi,2,3
"Adams, C. T. & Clamp, Cathy",Captive Moon,Tales of the Sazi,3,3
"Adams, C. T. & Clamp, Cathy",Howling Moon,Tales of the Sazi,4,3
"Adams, C. T. & Clamp, Cathy",Moon's Fury,Tales of the Sazi,5,3
"Adams, C. T. & Clamp, Cathy",Timeless Moon,Tales of the Sazi,6,4
"Adams, C. T. & Clamp, Cathy",Cold Moon Rising,Tales of the Sazi,7,3
"Adams, C. T. & Clamp, Cathy",Serpent Moon,Tales of the Sazi,8,5
"Adams, C. T. & Clamp, Cathy",Touch of Evil,Thrall Series,1,3
"Adams, C. T. & Clamp, Cathy",Touch of Madness,Thrall Series,2,3
"Adams, C. T. & Clamp, Cathy",Touch of Darkness,Thrall Series,3,3
"Adams, Douglas",Dirk Gently's Holistic Detective Agency,Dirk Gently,1,4
"Adams, Douglas",The long dark tea-time of the soul,Dirk Gently,2,4
"Adams, Douglas",The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,1,5
"Adams, Douglas",The Restaurant at the End of the Universe,The Hitchhiker's Guide to the Galaxy,2,5
"Adams, Douglas","Life, the Universe and Everything",The Hitchhiker's Guide to the Galaxy,3,5
"Adams, Douglas","So Long, and Thanks for All the Fish",The Hitchhiker's Guide to the Galaxy,4,5
"Adams, Douglas",Mostly harmless,The Hitchhiker's Guide to the Galaxy,5,4
"Adams, Guy",Doctor Who: The House That Jack Built,Doctor Who: Torchwood,12,5
"Adams, Guy",The World House,,1,5
"Adams, Jeanne",Deadly Little Secrets,,1,5
"Adams, Jody & Rivard, Ken",In the Hands of a Chef,,1,5
"Adams, John Joseph",The Living Dead 2,The Living Dead,2,4
"Adams, John Joseph",The Living Dead,The Living Dead,3,5
"Adams, John Joseph",The Improbable Adventures of Sherlock Holmes,,1,5
"Adams, John Joseph",Wastelands,,1,5
"Adams, Richard",Shardik,Beklan Empire,2,3
"Adams, Richard",Watership Down,Watership Down,1,5
"Adams, Richard",Tales from Watership Down,Watership Down,2,4
"Adams, Will",The Alexander Cipher,Daniel Knox,1,5
"Adams, Will",The Exodus Quest,Daniel Knox,2,5
"Adelstein, Jake",Tokyo Vice: An American Reporter on the Police Beat in Japan,,1,5
"Adichie, Chimamanda Ngozi",The Thing Around Your Neck,,1,5
"Adler, Bill & Jr., Bill Adler",The Wit and Wisdom of Ted Kennedy,,1,5
"Adler, Steven","My Appetite for Destruction: Sex, and Drugs, and Guns N' Roses",,1,5
"Adler, Warren",The War of the Roses,,1,3
"Adornetto, Alexandra",Halo,Halo YA series,1,5
Aesop,Aesop's Fables,,1,5
"Agatston, Arthur & Signorile, Joseph",The South Beach Diet Supercharged: Faster Weight Loss and Better Health for Life,,1,5
"Ahamed, Liaquat",Lords of Finance: The Bankers Who Broke the World,,1,5
"Ahern, Jerry",Written in Time,,1,5
"Ahmed, Qanta",In the land of invisible women: a female doctor's journey in the Saudi Kingdom,,1,5
"Aiken, Sean","The One-Week Job Project: One Man, One Year, 52 Jobs",,1,5
"Airth, Rennie",The Dead of Winter,,1,5
"Akers, Tim",The Horns of Ruin,,1,5
